,,,,,,,,,,,,,,,,,,,,
,,Nº REGISTRO,PLANOS (HIPERVINCULO),WEIGHT,MEDIDAS,ESCALA,GENERAL TOLERANCE,Nº ALMACENAJE,MATERIAL,COATING,CODE,DWG.,DWG. DATE,APPR.,APPR. DATE,COMPANY,Column 19,PAPER,ENLACE,COMMENTS
,39,T01.02.09,MIRROR FIXATION,"0,08KG",A4,1:1,DIN 7168F,T01.04.18,St37-2 (DIN 17223C),BLACK CHEMICAL OXYDATION,,A.N.N,23/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-09_Mirror_Fixation.jpeg,
,40,T01.02.10,FIXATION BAR,"0,46KG",A3,1:1,DIN 7168M,T01.04.18,St 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,24/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-10_Fixation_Bar.jpeg,
,41,T01.02.12,ADJUSTING BLOCK,"0,05KG",A4,1:1,DIN 7168F,T01.04.18,SIS2140 UHB ARNE,BLACK CHEMICAL OXYDATION,,A.N.N,11/6/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-12_Adjusting_Block.jpeg,
,42,T01.02.13,ANGLE PLATE,"0,04KG",A4,1:1,DIN 7168M,T01.04.18,St 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,19/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-13_Angle_Plate.jpeg,
,43,T01.02.14,AXIAL SUPPORT ARM,1KG,A3,1:1,DIN 7168F,T01.04.18,St 44-2 (St 37-2),BLACK CHEMICAL OXYDATION,,A.N.N,23/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-14_Axial_Support_Arm.jpeg,
,44,T01.02.15,FIXATION PIECE,"0,25KG",A3,1:1,DIN 7168F,T01.04.18,St 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,23/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-15_Fixation_Piece.jpeg,
,45,T01.02.18,SPRING SUPPORT ,"0,02KG",A4,2:1,DIN 7168M,T01.04.18,St37-2 DIN 671,BLACK CHEMICAL OXYDATION,,A.N.N,10/10/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-18_Spring_Support.jpeg,
,46,T01.02.21,HOLDING PIECE,0.02KG,A4,1:1,DIN 7168M,T01.04.18,St 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,20/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-21_Holding_Piece.jpeg,
,47,T01.02.23,PIANO WIRE CLAMP,"0,06KG",A4,1:1,DIN 7168M,T01.04.18,St 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,9/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-23_Piano_Wire_Clamp.jpeg,
,48,T01.02.24,SMALL FIXATION PIECE,"0,02KG",A4,1:1,DIN 7168F,T01.04.18,St 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,24/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-24_Small_Fixation_Piece.jpeg,
,49,T01.02.26,SPRING LEAF,"0,004KG",A4,1:1,DIN 7168F,T01.04.18,55 Si 7 HARDENED,BLACK CHEMICAL OXYDATION,,A.N.N,24/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-26_Spring_Leaf.jpeg,
,50,T01.02.27,PIANO WIRE PIECE,"0,1KG",A3,2:1 (5:1),DIN 7168F,T01.04.18,St 50-1 (DIN 17223C),BLACK CHEMICAL OXYDATION,,FL/AH,24/04/1991,D/S,D/S,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-27_Piano_Wire_Piece.jpeg,
,51,T01.02.29,BLOCK,"0,007KG",A4,2:1,DIN 7168F,T01.04.18,St 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,19/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-29_Block.jpeg,
,52,T01.02.30,HINGE SPRING ,"0,002KG",A4,2:1,DIN 7168F,T01.04.18,55 Si 7 HARDENED,BLACK CHEMICAL OXYDATION,,A.N.N,19/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-30_Hinge_Spring.jpeg,
,53,T01.02.31,HINGE SUPPORT,"0,1KG",A4,1:1,DIN 7168F,T01.04.18,St 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,19/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-31_Hinge_Support.jpeg,
,54,T01.02.33,SAFETY CLAMP,"0,2KG",A4,1:1,DIN 7168M,T01.04.18,St 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,9/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-33_Safety_Clamp.jpeg,
,55,T01.03,DRIVE UNIT,61KG,A1,1:1,N/A,T01.04.18,N/A,D/S,,A.N.N,17/5/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-03_Drive_Unit.jpeg,
,56,T01.03A,MICROSWITCHES FOR DRIVE UNIT,"0,23KG",A3,1:1,N/A,T01.04.18,N/A,D/S,,A.N,21/1/1987,D/S,D/S,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-03-A_Microswitches_for_Drive_Unit.jpeg,
,57,T01.03.01A,INNER HOUSING,"45,78KG",A1,1:1,DIN 7168F,T01.04.18,St 37-2,PAINT,,A.N.N,12/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-03-01-A_Inner_Housing.jpeg,
,58,T01.03.01B,INNER HOUSING,"45,78KG",A1,1:1,DIN 7168F,T01.04.18,St 37-2,PAINT,,A.N.N,12/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-03-01-B_Inner_Housing.jpeg,
,59,T01.03.07,FOCUS DRIVE TRANSVERSE,"2,42KG",A2,1:1,DIN 7168M,T01.04.18,St 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,5/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-03-07_Focus_Drive_Traverse.jpeg,
,60,T01.03.08,DISTANCE PIECE,"1,52KG",A4,1:1,DIN 7168F,T01.04.18,St 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,4/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-03-08_Distance_Piece.jpeg,
,61,T01.03.10,TRANSDUCER FLANGE,"0,08KG",A4,1:1,DIN 7168M,T01.04.18,St 37-2 (FLANGE),BLACK CHEMICAL OXYDATION,,A.N.N,6/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-03-10_Transducer_Flange.jpeg,
,62,T01.03.13,HARDENED BLOCK,"0,10KG",A4,1:1,DIN 7168M,T01.04.18,C 15,BLACK CHEMICAL OXYDATION,,A.N.N,4/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-03-13_Hardened_Block.jpeg,
,63,T01.03.15,END FLANGE,"10,5KG",A2,1:1 (1:5),DIN 7168F,T01.04.18,St 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,11/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-03-15_End_Flange.jpeg,
,64,T01.03.16,MOTOR CLAMP,"0,47KG",A3,1:1,DIN 7168F,T01.04.18,St 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,12/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-03-16_Motor_Clamp.jpeg,
